stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\losyo\Desktop\hackthon mini 2\bin\Debug\allegro5.cfg r
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.2
audio-dsound I           dsound.cpp:249  _dsound_open                     [   0.00046] Starting DirectSound...
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.03707] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.04039] Using DirectSound driver
audio-dsound D           dsound.cpp:290  _dsound_allocate_voice           [   0.04049] Allocating voice
audio-dsound D           dsound.cpp:349  _dsound_allocate_voice           [   0.04051] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.04052] added dtor for voice 02B27F00, func 61DC5398
dtor     D               dtor.c:196  _al_register_destructor          [   0.04054] added dtor for mixer 02B28370, func 61DC1429
audio-dsound D           dsound.cpp:446  _dsound_start_voice              [   0.04055] Starting voice
audio-dsound D           dsound.cpp:474  _dsound_start_voice              [   0.04056] CreateSoundBuffer
audio-dsound D           dsound.cpp:483  _dsound_start_voice              [   0.04248] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:489  _dsound_start_voice              [   0.04251] Starting _dsound_update thread
audio-dsound I           dsound.cpp:499  _dsound_start_voice              [   0.04263] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.04265] added dtor for sample_instance 02B28940, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04267] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04268] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04268] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04270] added dtor for sample_instance 02B28C50, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04271] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04272] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04273] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04274] added dtor for sample_instance 02B28D58, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04275] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04276] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04277] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04278] added dtor for sample_instance 02B28508, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04312] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04317] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04319] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04321] added dtor for sample_instance 02B28620, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.04324] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04326] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.04327] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.04329] added dtor for sample_instance 02B34E58, func 61DBB8F3
