stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\段欣妤\Dropbox\我的電腦 (LAPTOP-BRB19GHV)\Desktop\大學\程設二\QAQ 2nd mini project\mini project 2 test-1\bin\Debug\allegro5.cfg r
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.2
audio-dsound I           dsound.cpp:249  _dsound_open                     [   0.00031] Starting DirectSound...
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.05099] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.05250] Using DirectSound driver
audio-dsound D           dsound.cpp:290  _dsound_allocate_voice           [   0.05255] Allocating voice
audio-dsound D           dsound.cpp:349  _dsound_allocate_voice           [   0.05256] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.05257] added dtor for voice 0000000000C5DCA0, func 0000000061BEBB73
dtor     D               dtor.c:196  _al_register_destructor          [   0.05258] added dtor for mixer 0000000000C5DE40, func 0000000061BE741E
audio-dsound D           dsound.cpp:446  _dsound_start_voice              [   0.05259] Starting voice
audio-dsound D           dsound.cpp:474  _dsound_start_voice              [   0.05260] CreateSoundBuffer
audio-dsound D           dsound.cpp:483  _dsound_start_voice              [   0.05370] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:489  _dsound_start_voice              [   0.05373] Starting _dsound_update thread
audio-dsound I           dsound.cpp:499  _dsound_start_voice              [   0.05381] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.05383] added dtor for sample_instance 0000000000C5E7A0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05385] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05386] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05386] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05387] added dtor for sample_instance 0000000000C5EBA0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05388] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05388] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05389] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05390] added dtor for sample_instance 0000000000C5E4C0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05403] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05405] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05406] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05408] added dtor for sample_instance 0000000002B733A0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05408] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05409] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05409] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05410] added dtor for sample_instance 0000000002B73700, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05411] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05412] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05418] 
